RENGLON,SUB RENGLON,PRODUCTO / SERVICIO,DETALLE / INCLUYE,COSTO BASE,TIPO DE PRECIO
PRENDAS PROMOCIONALES,Thirt,Tshirt Driftit / OjoAngel con DTF,,275,por_estudiante
PRENDAS PROMOCIONALES,Thirt,Thisrt Sublimado,,307,por_estudiante
PRENDAS PROMOCIONALES,Polos,Polos Sublimados,,500,por_estudiante
PRENDAS PROMOCIONALES,Polos,Polos Sublimados con Bordados,,610,por_estudiante
PRENDAS PROMOCIONALES,Polos,Polos Algodon Sublimado,,710,por_estudiante
PRENDAS PROMOCIONALES,Polos,Polos Algodon Combinando,,850,por_estudiante
PRENDAS PROMOCIONALES,Polos,Polo para Maestros o Directivos,,610,por_estudiante
PRENDAS PROMOCIONALES,Hoodies,Hoodies Sublimado,,672,por_estudiante
PRENDAS PROMOCIONALES,Hoodies,Hoodies Tela Mono,,902,por_estudiante
PRENDAS PROMOCIONALES,Hoodies,Hoodies Combinado,,902,por_estudiante
PRENDAS PROMOCIONALES,Varsity,Varsity - Chaqueta Sublimado,,780,por_estudiante
PRENDAS PROMOCIONALES,Varsity,Varsity - Chaqueta Tela Mono,,1044,por_estudiante
PRENDAS PROMOCIONALES,Varsity,Varsity - Chaqueta Combinado,,1044,por_estudiante
PRENDAS PROMOCIONALES,Pantalones,Pantalones Deportivos,,598,por_estudiante
PRENDAS PROMOCIONALES,Pantalones,Pantalones Confeccionados,,923,por_estudiante
PRENDAS PROMOCIONALES,Gorras,Gorras Estandar,,210,por_estudiante
PRENDAS PROMOCIONALES,Gorras,Gorras Premium,,360,por_estudiante
PRENDAS PROMOCIONALES,Toallitas,Toallitas Bordadas,,160,por_estudiante
PRENDAS PROMOCIONALES,Termos,Termos Sublimados,,220,por_estudiante
PRENDAS PROMOCIONALES,Llaveros,Llaveros Sublimados,,50,por_estudiante
PRENDAS PROMOCIONALES,Llaveros,Llaveros Fotos,,50,por_estudiante
PRENDAS PROMOCIONALES,Botones,Botones Promocional,,50,por_estudiante
AMENIDADES EXTRAS EN COMBOS,Llaveros,Llaveros Sublimables,,50,por_estudiante
AMENIDADES EXTRAS EN COMBOS,Llaveros,LLaveros porta con fotos,,50,por_estudiante
